Country,Year,key,Diagnostic_Exams,ExpenditurePerCapita,Hospitals,Life_Expectancy_at_Birth,PercPopulationabove65,Physicians,Private_Insurance,Public_Insurance,death_by_cancer,death_by_circular,death_by_accident,Mean_Schooling_Years,NationalIncome,hospital_employment,tot_equipment,medical_grads,nurse_grads,death_by_respirat
Belgium,2013,Belgium2013,270.2,4349.432,11.38,80.7,17.766,3.58,80.4,99,6.37512711,4.602542617,0.59948066,11.4,38281.73306,18.33780183,93,10.54,47.54,1.795928057
Belgium,2014,Belgium2014,281.7,4477.796,11.06,81.4,17.999,3.61,82.2,99,6.300778832,4.37623649,0.584929218,11.5,38400.62075,18.42188512,94,11.5,47.42,1.591383116
Belgium,2015,Belgium2015,291.5,4526.597,10.29,81.1,18.21,3.74,83.6,99,6.281505639,4.487832191,0.623816773,11.7,32405.96174,18.55209012,94,12.05,49.68,1.862373383
Brazil,2010,Brazil2010,147.3,987.223,18.03,73.9,7.323,3.79,22.5,95,2.318081806,3.135154301,0.665391152,6.9,9337.194188,6.144180557,31.58,7.31,11.58,1.158045585
Brazil,2011,Brazil2011,190.6,1045.13,17.33,74.2,7.508,4.67,23.6,95,2.318081806,3.135154301,0.665391152,7.1,10986.60762,6.244180557,33,6.91,10.73,1.158045585
Brazil,2012,Brazil2012,182.4,1096.497,16.63,74.5,7.712,4.77,23.9,95,2.318081806,3.135154301,0.665391152,7.3,10327.38604,6.344180557,34,9.36,11.79,1.158045585
Brazil,2013,Brazil2013,190.6,1185.937,16.69,74.8,7.934,4.78,24.7,95,2.365890759,3.158867702,0.647528499,7.4,10414.89321,6.46369725,35,7.34,12.54,1.247341638
Brazil,2014,Brazil2014,200.8,1282.215,15.98,75,8.167,4.98,25.6,95,2.408454377,3.143161542,0.66467847,7.4,10186.72129,6.642211602,36,8.63,18.57,1.247910954
Brazil,2015,Brazil2015,212,1279.359,15.96,75.3,8.41,4.99,25.8,95,2.481893532,3.205807582,0.614179962,7.6,7447.224088,6.648681822,37,9.4,21.52,1.335123449
Canada,2010,Canada2010,171.9,4166.696,16.85,81.1,14.127,2.38,68,100,5.469298301,3.866253518,0.56894119,12.6,38427.36803,17.11911922,69.7,7.2,51.38,1.074276977
Canada,2011,Canada2011,179.3,4226.516,17.01,81.3,14.43,2.46,68,100,5.466191608,3.699488364,0.55314006,12.7,42189.913,17.14911922,70,7.36,55.48,1.131017578
Canada,2012,Canada2012,180.3,4285.693,16.81,81.5,14.85,2.51,67,100,5.541804406,3.691714915,0.580537083,12.8,42696.49321,17.15453254,71,7.61,57.77,1.116134004
Canada,2013,Canada2013,187.2,4365.618,16.67,81.7,15.258,2.57,67,100,5.549760751,3.69280193,0.580824323,12.9,42650.04721,17.14658284,73,7.56,56.68,1.181796789
Canada,2014,Canada2014,195.55,4463.64,16.49,81.8,15.64,2.61,67,100,5.628023976,3.691902914,0.589443865,13.1,41307.976,17.21886299,74,7.87,57.2,1.169967846
Canada,2015,Canada2015,203.9,4550.831,16.35,81.9,16.027,2.66,67,100,5.566012068,3.682585917,0.590979328,13.2,35162.08491,17.27079125,75,7.85,58.51,1.259370037
Chile,2010,Chile2010,66.2,1254.092,17.05,78,9.371,3.79,19,74.2,3.431156263,2.918906064,0.515121754,9,9146.420113,4.785659224,31.58,7.31,11.58,1.020046558
Chile,2011,Chile2011,73.5,1355.345,14.49,78.7,9.585,4.67,19,76.1,3.46270137,2.739049756,0.505675182,9.5,10600.76343,4.985659224,33,6.91,10.73,1.020046558
Chile,2012,Chile2012,83,1485.173,14.62,78.7,9.819,4.77,19,76.3,3.542754143,2.877061707,0.472497162,9.7,11471.48641,5.185659224,34,9.36,11.79,0.996761485
Chile,2013,Chile2013,90.4,1656.262,14.92,79.5,10.075,4.78,19,75.9,3.554528069,2.862212156,0.48211715,9.9,11982.73436,5.276602152,35,7.34,12.54,1.00914711
Chile,2014,Chile2014,105.1,1751.892,13.52,79.7,10.329,4.98,19,75.2,3.594860402,2.859910914,0.457171975,10.1,11267.7888,5.514398022,36,8.63,18.57,1.006374266
Chile,2015,Chile2015,109.4,1837.686,13.38,79.9,10.608,4.99,19,73.2,3.665040882,2.864380856,0.455222717,10.2,10641.27447,5.633721937,37,9.4,21.52,0.928028905
Colombia,2010,Colombia2010,103.5,627.383,18.03,73.4,6.725,3.39,4.8,93.6,1.883418193,2.805015398,0.389127531,7.4,5024.446509,5.26,31.58,7.31,11.58,0.84509144
Colombia,2011,Colombia2011,113.7,651.933,17.33,73.5,6.853,3.39,5.7,96.4,1.833745692,2.758009719,0.373717967,7.5,5622.306479,6.97,33,6.91,10.73,0.809905425
Colombia,2012,Colombia2012,132.8,670.004,16.63,73.7,6.997,3.38,5.3,96.4,1.909709539,2.859850293,0.383541687,7.6,6268.804132,7.26,34,9.36,11.79,0.82313963
Colombia,2013,Colombia2013,146.8,933.366,16.69,73.9,7.152,3.35,4.8,96,1.983485568,2.932275186,0.391247325,7.8,6466.229975,8.26,35,7.34,12.54,0.879096831
Colombia,2014,Colombia2014,155,936.053,15.98,74.1,7.316,3.31,4.2,96.6,2.063518936,3.065369748,0.39797081,8,6456.022833,8.49,36,8.63,18.57,0.916205681
Colombia,2015,Colombia2015,165.2,951.651,15.96,74.2,7.486,3.3,7.8,97.6,2.106199759,3.19496102,0.41644361,8.1,5114.350292,8.77,37,9.4,21.52,0.991216284
Costa Rica,2010,Costa Rica2010,147.3,1037.144,18.03,78.8,6.46,3.39,3.49,98,2.358491604,2.420093996,0.458497808,8.3,7299.732559,6.144180557,31.58,7.31,11.58,0.678286345
Costa Rica,2011,Costa Rica2011,190.6,1111.038,17.33,79.1,6.627,3.39,3.53,98,2.301936713,2.320847808,0.436911501,8.4,8186.236725,6.244180557,33,6.91,10.73,0.587765522
Costa Rica,2012,Costa Rica2012,182.4,1128.683,16.63,79.4,6.793,3.38,3.5,98,2.342224806,2.423443133,0.45937773,8.5,8946.415327,6.344180557,34,9.36,11.79,0.62159952
Costa Rica,2013,Costa Rica2013,190.6,1136.607,16.69,79.6,6.958,3.35,3.56,98,2.398647629,2.332142473,0.413904295,8.5,9412.029394,6.46369725,35,7.34,12.54,0.634242464
Costa Rica,2014,Costa Rica2014,197.4,1197.279,15.98,79.8,7.147,3.31,3.64,98,2.429386879,2.504214854,0.453592048,8.8,9403.131008,6.642211602,36,8.63,18.57,0.694891246
Costa Rica,2015,Costa Rica2015,200.8,1254.069,15.96,79.9,7.36,3.3,3.69,98,2.429386879,2.504214854,0.453592048,8.6,10087.0875,6.648681822,37,9.4,21.52,0.694891246
Czech Republic,2010,Czech Republic2010,123,2001.123,15.28,77.7,15.373,3.39,0,100,6.830949998,9.249969987,0.633047629,10.9,14047.23332,13.40323994,56.22,13.92,12.25,1.111823949
Czech Republic,2011,Czech Republic2011,131.7,2041.899,14.86,78,15.902,3.39,0,100,6.66003543,9.253694025,0.56652545,11.2,15388.47238,13.32971984,58,13.91,17.36,1.020909185
Czech Republic,2012,Czech Republic2012,140.9,2090.485,14.84,78.2,16.503,3.38,0,100,6.684533592,9.244920134,0.546859272,12.2,14256.00686,13.40323994,57,15.14,17.22,1.046885686
